what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"16.0-b13",1300787645359
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.ui",1300787645406
started,bundle,org.eclipse.mylyn.context.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.core",1300787645531
started,bundle,org.eclipse.mylyn.context.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.ui",1300787645546
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1300787645640
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1300787645656
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1300787645718
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1300787646156
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1300787646156
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1300787646406
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300787700328
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300787705437
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300787709437
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300787712078
opened,view,org.tigris.subversion.subclipse.ui,1.6.6,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1300787712187
opened,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui.GenericHistoryView",1300787712218
opened,view,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui.views.repositories",1300787712250
activated,perspective,org.tigris.subversion.subclipse.ui,1.6.6,"org.tigris.subversion.subclipse.ui.svnPerspective",1300787712265
activated,view,org.tigris.subversion.subclipse.ui,1.6.6,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1300787712265
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1300787712328
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1300787712328
activated,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1300787715250
activated,view,org.tigris.subversion.subclipse.ui,1.6.6,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1300787715250
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300787717781
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1300787722953
